timestamp,failed_attempts,button_presses,time_since_unlock,class
4040,2,1,477,0
4060,1,1,445,1
4080,6,6,14,2
4100,1,0,321,0
4120,1,6,560,1
4140,5,4,15,2
4160,1,2,571,0
4180,1,5,895,1
4200,9,6,24,2
4220,1,3,447,0
4240,5,2,822,1
4260,9,4,9,2
4280,2,0,457,0
4300,1,2,650,1
4320,9,5,29,2
4340,1,0,152,0
4360,4,1,735,1
4380,6,5,26,2
4400,0,1,469,0
4420,3,2,264,1
4440,7,5,11,2
4460,0,1,319,0
4480,1,1,898,1
4500,8,2,21,2
4520,0,0,324,0
4540,1,2,195,1
4560,6,8,25,2
4580,1,2,271,0
4600,1,6,579,1
4620,7,9,5,2
4640,0,3,384,0
4660,3,1,845,1
4680,6,1,17,2
4700,1,1,539,0
4720,5,5,801,1
4740,5,4,25,2
4760,0,2,499,0
4780,2,2,759,1
4800,7,4,20,2
4820,1,3,432,0
4840,3,5,519,1
4860,5,1,2,2
4880,1,1,165,0
4900,2,5,169,1
4920,9,1,19,2
4940,1,2,168,0
4960,5,3,210,1
4980,9,8,20,2
5000,2,1,164,0
5020,4,3,348,1
5040,9,9,21,2
5060,2,1,491,0
5080,4,2,492,1
5100,6,6,18,2
5120,2,0,172,0
5140,5,3,365,1
5160,9,3,15,2
5180,0,2,211,0
5200,4,6,440,1
5220,8,9,29,2
5240,1,1,277,0
5260,2,5,547,1
5280,5,3,23,2
5300,2,0,521,0
5320,3,1,757,1
5340,7,8,25,2
5360,2,3,503,0
5380,5,4,483,1
5400,7,2,27,2
5420,0,2,319,0
5440,5,2,841,1
5460,8,9,21,2
5480,2,0,324,0
5500,3,3,336,1
5520,7,2,14,2
5540,0,1,257,0
5560,2,4,856,1
5580,8,8,11,2
5600,1,2,298,0
5620,3,4,579,1
5640,7,4,8,2
5660,0,0,189,0
5680,4,1,686,1
5700,8,8,17,2
5720,1,3,364,0
5740,2,5,715,1
5760,5,8,23,2
5780,0,1,436,0
5800,1,5,580,1
5820,9,9,27,2
5840,2,0,448,0
5860,5,6,810,1
5880,7,8,11,2
5900,1,1,458,0
5920,2,2,314,1
5940,8,1,22,2
5960,0,1,394,0
5980,5,3,399,1
6000,9,5,25,2
6020,0,3,161,0
6040,1,6,578,1
6060,7,8,15,2
6080,0,1,380,0
6100,1,2,797,1
6120,5,4,10,2
6140,0,2,495,0
6160,2,6,535,1
6180,6,2,28,2
6200,1,0,574,0
6220,3,2,106,1
6240,7,2,12,2
6260,1,2,566,0
6280,3,6,859,1
6300,7,5,2,2
6320,0,1,199,0
6340,2,4,227,1
6360,9,3,24,2
6380,1,2,415,0
6400,1,5,763,1
6420,6,7,5,2
6440,0,1,239,0
6460,5,6,825,1
6480,6,6,3,2
6500,1,1,523,0
6520,2,6,625,1
6540,9,9,13,2
6560,2,1,222,0
6580,5,4,770,1
6600,7,9,7,2
6620,0,1,374,0
6640,2,1,898,1
6660,8,3,18,2
6680,1,0,591,0
6700,1,1,241,1
6720,9,7,6,2
6740,0,1,314,0
6760,2,2,894,1
6780,7,9,28,2
6800,2,1,498,0
6820,5,6,567,1
6840,9,7,12,2
6860,2,2,470,0
6880,5,2,751,1
6900,5,8,9,2
6920,1,2,351,0
6940,4,5,528,1
6960,5,8,2,2
6980,0,1,267,0
7000,3,4,622,1
7020,5,2,25,2
7040,2,2,523,0
7060,3,6,810,1
7080,9,2,11,2
7100,1,1,188,0
7120,1,4,782,1
7140,9,9,3,2
7160,0,2,163,0
7180,2,2,329,1
7200,7,2,25,2
7220,1,1,536,0
7240,3,5,772,1
7260,6,1,2,2
7280,2,3,528,0
7300,5,5,646,1
7320,5,3,26,2
7340,0,2,389,0
7360,3,4,549,1
7380,6,8,6,2
7400,0,1,234,0
7420,2,3,762,1
7440,6,7,24,2
7460,0,3,386,0
7480,1,1,451,1
7500,9,7,15,2
7520,2,0,540,0
7540,1,6,508,1
7560,7,5,13,2
7580,1,0,359,0
7600,3,2,183,1
7620,6,9,4,2
7640,0,0,297,0
7660,2,4,570,1
7680,6,7,25,2
7700,1,3,580,0
7720,2,6,120,1
7740,5,7,1,2
7760,0,3,274,0
7780,1,5,213,1
7800,6,8,20,2
7820,0,1,358,0
7840,3,4,326,1
7860,5,4,26,2
7880,2,1,333,0
7900,2,3,645,1
7920,9,3,27,2
7940,1,2,348,0
7960,3,5,488,1
7980,5,6,3,2
8000,0,2,372,0
8020,3,1,234,1
8040,5,8,5,2
8060,0,2,171,0
8080,3,2,597,1
8100,7,7,13,2
8120,2,0,180,0
8140,3,4,463,1
8160,6,8,15,2
8180,2,2,301,0
8200,1,2,106,1
8220,6,5,20,2
8240,0,2,259,0
8260,4,4,767,1
8280,7,8,25,2
8300,2,0,553,0
8320,2,4,242,1
8340,9,5,22,2
8360,1,1,338,0
8380,5,4,640,1
8400,7,5,10,2
8420,1,0,365,0
8440,1,6,510,1
8460,5,9,29,2
8480,1,3,171,0
8500,4,1,398,1
8520,6,7,17,2
8540,1,0,567,0
8560,4,3,101,1
8580,5,9,28,2
8600,0,3,427,0
8620,2,4,868,1
8640,6,3,27,2
8660,0,2,353,0
8680,4,5,644,1
8700,7,4,21,2
8720,1,2,327,0
8740,2,2,156,1
8760,7,8,30,2
8780,2,1,285,0
8800,3,5,296,1
8820,5,3,15,2
8840,0,2,445,0
8860,3,5,226,1
8880,5,2,20,2
8900,1,3,299,0
8920,4,5,644,1
8940,5,9,7,2
8960,1,1,408,0
8980,3,3,671,1
9000,5,8,20,2
9020,1,1,325,0
9040,4,2,556,1
9060,6,4,28,2
9080,0,1,395,0
9100,1,6,397,1
9120,6,9,17,2
9140,2,1,220,0
9160,3,6,143,1
9180,6,8,3,2
9200,1,1,459,0
9220,5,5,439,1
9240,5,5,21,2
9260,1,1,483,0
9280,3,5,798,1
9300,9,7,2,2
9320,0,2,555,0
9340,3,4,687,1
9360,5,5,3,2
9380,0,2,211,0
9400,4,5,177,1
9420,5,4,27,2
9440,1,0,441,0
9460,2,5,649,1
9480,5,2,22,2
9500,2,3,170,0
9520,1,4,792,1
9540,5,4,15,2
9560,0,0,423,0
9580,4,5,278,1
9600,7,2,3,2
9620,0,3,570,0
9640,4,4,820,1
9660,9,1,14,2
9680,1,1,401,0
9700,5,2,514,1
9720,9,2,23,2
9740,1,0,153,0
9760,3,2,339,1
9780,8,7,22,2
9800,2,2,150,0
9820,1,3,589,1
9840,6,5,30,2
9860,1,2,435,0
9880,4,5,268,1
9900,6,1,20,2
9920,0,2,363,0
9940,2,5,641,1
9960,5,6,14,2
9980,1,1,352,0
10000,5,6,343,1
10020,7,2,24,2
10040,1,3,243,0
10060,5,2,110,1
10080,5,8,21,2
10100,1,1,290,0
10120,5,2,802,1
10140,9,9,3,2
10160,0,3,507,0
10180,5,3,196,1
10200,8,9,15,2
10220,2,1,530,0
10240,3,3,604,1
10260,7,3,18,2
10280,1,2,313,0
10300,5,2,327,1
10320,8,7,14,2
10340,2,2,370,0
10360,3,6,485,1
10380,6,3,1,2
10400,1,0,251,0
10420,5,1,400,1
10440,9,5,29,2
10460,0,2,392,0
10480,3,6,346,1
10500,7,2,6,2
10520,2,2,331,0
10540,2,6,660,1
10560,9,3,5,2
10580,2,0,539,0
10600,2,5,678,1
10620,5,8,30,2
10640,1,3,494,0
10660,5,4,845,1
10680,9,3,28,2
10700,2,1,364,0
10720,1,1,139,1
10740,6,1,27,2
10760,0,3,577,0
10780,4,1,182,1
10800,8,2,1,2
10820,0,1,193,0
10840,2,3,608,1
10860,8,3,9,2
10880,0,3,595,0
10900,5,3,228,1
10920,9,7,11,2
10940,0,0,213,0
10960,4,1,330,1
10980,9,2,17,2
11000,2,0,388,0
11020,4,2,712,1
11040,7,3,19,2
11060,0,0,392,0
11080,4,3,456,1
11100,9,6,30,2
11120,2,0,363,0
11140,2,6,801,1
11160,8,1,29,2
11180,1,3,530,0
11200,2,5,105,1
11220,7,8,12,2
11240,1,3,197,0
11260,3,1,612,1
11280,9,2,22,2
11300,0,3,376,0
11320,2,4,458,1
11340,9,6,18,2
11360,2,1,336,0
11380,2,6,848,1
11400,7,6,2,2
11420,1,3,458,0
11440,1,6,347,1
11460,6,9,16,2
11480,1,1,509,0
11500,4,4,626,1
11520,8,9,26,2
11540,1,0,355,0
11560,4,1,362,1
11580,5,3,26,2
11600,0,1,277,0
11620,4,3,528,1
11640,6,8,2,2
11660,1,3,593,0
11680,5,3,489,1
11700,5,9,21,2
11720,2,2,400,0
11740,2,2,564,1
11760,5,8,2,2
11780,1,3,401,0
11800,5,2,411,1
11820,5,4,9,2
11840,1,2,242,0
11860,3,1,555,1
11880,7,1,21,2
11900,1,1,531,0
11920,2,6,388,1
11940,9,5,1,2
11960,2,2,487,0
11980,1,5,601,1
12000,7,5,2,2
12020,2,3,576,0
12040,1,4,348,1
12060,7,9,9,2
12080,1,1,264,0
12100,5,3,558,1
12120,7,6,21,2
12140,1,2,257,0
12160,1,4,775,1
12180,8,1,19,2
12200,1,3,314,0
12220,1,4,811,1
12240,9,1,4,2
12260,1,0,567,0
12280,1,4,195,1
12300,6,6,17,2
12320,1,2,195,0
12340,2,5,330,1
12360,5,8,26,2
12380,2,3,237,0
12400,5,2,772,1
12420,5,6,22,2
12440,1,3,540,0
12460,3,4,433,1
12480,6,8,14,2
12500,0,3,432,0
12520,1,2,633,1
12540,8,3,14,2
12560,0,3,480,0
12580,3,1,890,1
12600,8,4,3,2
12620,0,2,560,0
12640,2,1,631,1
12660,8,8,22,2
12680,2,3,204,0
12700,1,3,830,1
12720,5,2,29,2
12740,0,1,281,0
12760,2,2,514,1
12780,9,6,26,2
12800,2,0,478,0
12820,2,4,771,1
12840,8,1,9,2
12860,2,1,290,0
12880,5,3,137,1
12900,5,9,24,2
12920,1,0,374,0
12940,2,2,544,1
12960,5,5,4,2
12980,0,2,306,0
13000,5,3,836,1
13020,7,9,10,2
13040,0,2,514,0
13060,4,2,656,1
13080,9,7,1,2
13100,2,3,225,0
13120,1,5,137,1
13140,7,4,12,2
13160,2,0,285,0
13180,2,1,352,1
13200,5,9,17,2
13220,2,2,376,0
13240,3,2,756,1
13260,9,4,9,2
13280,0,0,457,0
13300,3,4,571,1
13320,8,2,5,2
13340,1,0,393,0
13360,1,6,840,1
13380,6,9,20,2
13400,2,2,476,0
13420,5,1,103,1
13440,5,2,18,2
13460,2,1,403,0
13480,1,4,752,1
13500,8,4,20,2
13520,1,0,328,0
13540,2,5,434,1
13560,9,5,11,2
13580,0,0,468,0
13600,1,1,707,1
13620,6,6,26,2
13640,0,3,574,0
13660,1,4,548,1
13680,7,9,12,2
13700,0,1,298,0
13720,2,6,230,1
13740,6,8,25,2
13760,2,3,207,0
13780,3,3,769,1
13800,7,6,5,2
13820,2,2,346,0
13840,2,5,448,1
13860,7,2,19,2
13880,0,0,266,0
13900,2,5,440,1
13920,9,6,27,2
13940,0,3,309,0
13960,1,5,749,1
13980,7,6,11,2
14000,2,2,180,0
14020,5,2,854,1
14040,9,8,30,2
14060,2,0,356,0
14080,5,6,599,1
14100,7,1,15,2
14120,0,0,205,0
14140,2,2,571,1
14160,6,4,19,2
14180,2,2,444,0
14200,2,6,220,1
14220,7,2,20,2
14240,2,1,530,0
14260,4,3,629,1
14280,9,3,9,2
14300,1,2,494,0
14320,4,5,631,1
14340,6,5,24,2
14360,0,3,249,0
14380,5,4,849,1
14400,5,4,17,2
14420,1,1,172,0
14440,1,2,795,1
14460,7,1,16,2
14480,2,3,403,0
14500,1,4,291,1
14520,9,3,20,2
14540,1,3,184,0
14560,1,2,437,1
14580,6,4,9,2
14600,0,1,478,0
14620,5,3,435,1
14640,7,9,16,2
14660,2,1,424,0
14680,3,2,625,1
14700,9,1,6,2
14720,2,1,463,0
14740,3,5,793,1
14760,6,9,4,2
14780,0,2,581,0
14800,2,6,819,1
14820,9,2,6,2
14840,0,3,555,0
14860,3,6,564,1
14880,7,7,6,2
14900,0,3,211,0
14920,1,4,485,1
14940,6,4,14,2
14960,0,3,479,0
14980,1,5,791,1
15000,6,6,22,2
15020,1,2,508,0
15040,2,3,751,1
15060,5,7,1,2
15080,2,2,414,0
15100,5,6,534,1
15120,6,7,9,2
15140,1,1,198,0
15160,2,1,732,1
15180,5,9,19,2
15200,2,0,460,0
15220,3,5,725,1
15240,5,2,2,2
15260,0,2,286,0
15280,4,3,629,1
15300,9,5,9,2
15320,1,2,302,0
15340,2,5,878,1
15360,5,8,12,2
15380,1,0,369,0
15400,5,4,879,1
15420,5,7,14,2
15440,1,2,305,0
15460,4,5,195,1
15480,7,7,20,2
15500,1,1,514,0
15520,4,4,778,1
15540,9,7,9,2
15560,0,3,244,0
15580,5,2,404,1
15600,6,7,18,2
15620,2,1,337,0
15640,2,4,532,1
15660,9,5,15,2
15680,2,3,373,0
15700,5,4,781,1
15720,9,8,13,2
15740,1,1,529,0
15760,3,5,103,1
15780,6,9,9,2
15800,1,3,294,0
15820,4,3,297,1
15840,7,5,21,2
15860,2,2,410,0
15880,2,3,878,1
15900,6,4,29,2
15920,0,2,498,0
15940,5,6,206,1
15960,6,8,11,2
15980,2,3,470,0
16000,1,4,762,1
16020,8,4,5,2
16040,0,3,503,0
16060,1,4,706,1
16080,7,5,2,2
16100,1,2,318,0
16120,3,5,822,1
16140,6,1,15,2
16160,2,0,172,0
16180,3,4,254,1
16200,8,1,14,2
16220,1,3,483,0
16240,4,3,740,1
16260,5,3,19,2
16280,2,0,328,0
16300,5,5,723,1
16320,9,5,13,2
16340,2,0,246,0
16360,4,3,395,1
16380,9,7,11,2
16400,2,3,237,0
16420,1,3,195,1
16440,9,1,9,2
16460,0,1,229,0
16480,3,3,481,1
16500,7,6,9,2
16520,0,2,393,0
16540,3,3,599,1
16560,7,5,13,2
16580,1,0,232,0
16600,5,1,672,1
16620,8,6,28,2
16640,2,0,557,0
16660,1,4,278,1
16680,5,6,16,2
16700,2,2,483,0
16720,1,1,130,1
16740,6,6,21,2
16760,2,2,174,0
16780,5,6,846,1
16800,9,4,19,2
16820,0,3,227,0
16840,5,2,635,1
16860,5,9,27,2
16880,2,0,195,0
16900,5,1,663,1
16920,9,2,19,2
16940,0,3,214,0
16960,3,4,358,1
16980,7,9,25,2
17000,0,3,437,0
17020,4,2,423,1
17040,5,6,27,2
17060,0,1,185,0
17080,4,6,258,1
17100,7,7,2,2
17120,0,1,245,0
17140,2,6,525,1
17160,5,3,10,2
17180,0,2,346,0
17200,5,1,216,1
17220,6,4,23,2
17240,2,1,434,0
17260,5,1,794,1
17280,6,3,30,2
17300,0,0,345,0
17320,3,3,344,1
17340,7,7,4,2
17360,1,2,505,0
17380,1,2,352,1
17400,6,4,8,2
17420,1,1,449,0
17440,1,6,119,1
17460,8,7,28,2
17480,0,0,165,0
17500,4,3,539,1
17520,5,8,13,2
17540,1,2,379,0
17560,5,1,660,1
17580,8,2,16,2
17600,1,3,186,0
17620,2,5,360,1
17640,6,5,22,2
17660,2,1,478,0
17680,2,3,368,1
17700,5,8,27,2
17720,1,2,292,0
17740,5,2,421,1
17760,9,1,15,2
17780,2,1,184,0
17800,1,1,768,1
17820,7,2,17,2
17840,0,0,574,0
17860,3,3,789,1
17880,6,8,22,2
17900,1,2,157,0
17920,4,6,896,1
17940,5,8,21,2
17960,0,3,439,0
17980,4,6,410,1
18000,5,9,16,2
18020,1,1,572,0
18040,1,2,822,1
18060,6,1,30,2
18080,0,3,572,0
18100,3,5,782,1
18120,7,2,16,2
18140,1,2,464,0
18160,3,3,805,1
18180,8,4,29,2
18200,1,2,260,0
18220,4,6,684,1
18240,7,5,2,2
18260,0,2,283,0
18280,3,6,648,1
18300,8,5,10,2
18320,2,0,198,0
18340,5,1,321,1
18360,9,2,14,2
18380,2,1,369,0
18400,1,3,164,1
18420,9,7,11,2
18440,2,1,517,0
18460,5,3,400,1
18480,7,7,13,2
18500,2,1,210,0
18520,1,6,757,1
18540,5,5,14,2
18560,2,2,578,0
18580,1,6,298,1
18600,7,3,6,2
18620,0,0,361,0
18640,4,2,186,1
18660,8,6,3,2
18680,1,1,270,0
18700,1,3,507,1
18720,8,6,22,2
18740,2,2,461,0
18760,3,6,819,1
18780,8,1,4,2
18800,1,2,353,0
18820,5,6,332,1
18840,6,9,13,2
18860,0,3,328,0
18880,2,3,827,1
18900,6,3,3,2
18920,0,0,562,0
18940,2,3,473,1
18960,6,8,14,2
18980,2,0,307,0
19000,2,2,706,1
19020,5,5,4,2
19040,0,2,342,0
19060,3,2,809,1
19080,8,8,26,2
19100,1,0,505,0
19120,5,5,563,1
19140,6,4,6,2
19160,1,0,202,0
19180,1,1,409,1
19200,7,8,5,2
19220,0,3,429,0
19240,2,4,689,1
19260,8,8,3,2
19280,1,1,495,0
19300,2,4,795,1
19320,9,3,28,2
19340,0,0,423,0
19360,4,6,776,1
19380,9,2,20,2
19400,1,1,230,0
19420,5,4,213,1
19440,9,4,23,2
19460,2,2,548,0
19480,4,4,442,1
19500,7,9,7,2
19520,0,1,184,0
19540,2,3,706,1
19560,6,7,8,2
19580,1,2,179,0
19600,4,1,131,1
19620,8,2,5,2
19640,2,0,300,0
19660,2,5,169,1
19680,6,6,1,2
19700,1,3,169,0
19720,3,6,300,1
19740,9,9,27,2
19760,0,3,508,0
19780,4,6,778,1
19800,9,2,22,2
19820,0,2,408,0
19840,2,2,267,1
19860,9,8,4,2
19880,2,2,442,0
19900,1,4,824,1
19920,5,7,5,2
19940,2,0,505,0
19960,3,1,209,1
19980,7,3,15,2
20000,2,3,252,0
